lon,lat,GEOID,capacity
-77.2447101,38.9261106,51700032126,99
-77.4042775,37.2285345,51710006901,7
-76.4260284,37.0267085,51013101500,8
-77.2967819,38.974284,51087200409,36
-82.192414,36.6052212,51700032132,37
-75.9909967,36.892747,51047930400,42
-76.209435,36.8691966,51041100934,28
-77.142377,38.8024076,51810045604,101
-77.9950593,38.4712006,51790000100,26
-77.3367049,38.9496995,51710980200,56
-77.5936729,37.4383981,51059480202,75
-76.5044263,37.1144267,51059460501,59
-77.5507114,37.6340785,51085320602,75
-76.1355286,36.8385269,51730811300,125
-77.5331453,37.6289618,51650010400,104
-77.4744284,37.7578235,51153900403,3
-77.1030521,38.8864449,51810041004,8
-76.4573182,37.0836891,51810043400,39
-77.1600716,38.873425,51810046222,152
-79.9576808,37.2553112,51059450300,132
-77.2225269,38.9168662,51059452600,197
-77.2932655,38.6353403,51680001600,143
-76.1894995,36.7792797,51810045423,199
-79.070883,38.1495202,51800065200,30
-76.5640406,36.7394841,51087200126,12
-79.1784848,37.3651374,51059480401,138
-76.1373405,36.8451753,51520020200,165
-77.2342602,38.9143548,51059460400,126
-76.2342426,36.8661783,51770003000,436
-76.5136476,37.1456729,51700031602,8
-76.0744531,36.742639,51059482202,52
