origin,dest,cost
51041100206,51700032113,130.5
51059481202,51700032113,241.5
51710004800,51700032113,11.4
51117930300,51700032113,170.6
51143010300,51700032113,281.9
51059421101,51700032113,218.8
51087200201,51700032113,127.5
51085320100,51700032113,147.8
51810040403,51700032113,10.4
51760010401,51700032113,119.9
51081880200,51700032113,109.3
51179010213,51700032113,188.3
51740211800,51700032113,16
51770002300,51700032113,315.4
51019030501,51700032113,291.1
51013100600,51700032113,235.5
51770002200,51700032113,318.1
51760061000,51700032113,117.5
51087200121,51700032113,132.9
51740212400,51700032113,17.8
51510201400,51700032113,229.8
51059482502,51700032113,237.1
51107611005,51700032113,256.3
51683910201,51700032113,222.1
51700032113,51700032113,45.3
51167030200,51700032113,501.4
51169030400,51700032113,527.1
51087200104,51700032113,127.9
51660000101,51700032113,259.8
51810046015,51700032113,16.7
51540000501,51700032113,194.3
51680001100,51700032113,241.9
51059471402,51700032113,232.3
51059421400,51700032113,225.8
51059422101,51700032113,211
51053840100,51700032113,131.4
51760021000,51700032113,113.7
51760030500,51700032113,116
51059421701,51700032113,220.3
51059452302,51700032113,226.5
51810046013,51700032113,12.6
51013101402,51700032113,234.1
51710004001,51700032113,12.8
51840000100,51700032113,288.2
51059421102,51700032113,220.2
51185020700,51700032113,486
51059431002,51700032113,220.7
51059420600,51700032113,228.9
51059450200,51700032113,230.1
51740211500,51700032113,17.6
51161030203,51700032113,309.6
51740212000,51700032113,14.8
51019030402,51700032113,274.4
51113930100,51700032113,224.7
51059415401,51700032113,225.1
51011040300,51700032113,209.8
51049930100,51700032113,186.6
51810044004,51700032113,18.4
51177020108,51700032113,172
51111930200,51700032113,193.8
51111930100,51700032113,175.3
51067020500,51700032113,329.4
51710003600,51700032113,13
51550020600,51700032113,16.2
51041101009,51700032113,142.4
51540000201,51700032113,195.2
51057950600,51700032113,153.3
51670820100,51700032113,109.9
51710005701,51700032113,12.6
51059440201,51700032113,227.3
51740212701,51700032113,19.6
51710004900,51700032113,11.9
51810045428,51700032113,23.5
51710002600,51700032113,17.2
51003010100,51700032113,235.5
51059482302,51700032113,243.3
51760071002,51700032113,125.3
51760060900,51700032113,121.8
51059432300,51700032113,218.5
51059432702,51700032113,214
51760030200,51700032113,114.6
51510200701,51700032113,225.2
51033030202,51700032113,156
51740210300,51700032113,20.5
51510200103,51700032113,223.4
51710007002,51700032113,7.2
51133020300,51700032113,144
51059432701,51700032113,216.2
51059452400,51700032113,223
51740212600,51700032113,20.5
51059415900,51700032113,222.3
51760070802,51700032113,123.9
51059451200,51700032113,229.1
51059440701,51700032113,224.9
51013103200,51700032113,228.7
51810045603,51700032113,8.3
51013102802,51700032113,226.5
51059422301,51700032113,223
51059470600,51700032113,237.2
51059470800,51700032113,236.9
51179010405,51700032113,180.8
51760010800,51700032113,115.9
51091970100,51700032113,288.1
51510200702,51700032113,226.2
51009010200,51700032113,257.6
51157950100,51700032113,263.3
51059432600,51700032113,217
51041100817,51700032113,125.4
51059481201,51700032113,241.8
51033030201,51700032113,149.8
51059460900,51700032113,235.7
51760010500,51700032113,119.5
51730810700,51700032113,102.2
51041100210,51700032113,129.2
51041100209,51700032113,131.3
51710003700,51700032113,15.1
51153901229,51700032113,206.6
51700032126,51700032113,42
51660000401,51700032113,263.3
51700031701,51700032113,44.4
51710003501,51700032113,12.8
51730810400,51700032113,102.8
51051040400,51700032113,539.5
51059460701,51700032113,234.9
51800065300,51700032113,38.2
51710005903,51700032113,10
51175200100,51700032113,69.5
51690000400,51700032113,268.9
51740212100,51700032113,14.5
51177020111,51700032113,176.9
51059451300,51700032113,230.9
51125950300,51700032113,252.3
51710001400,51700032113,14
51041100807,51700032113,124.3
51760040700,51700032113,121.3
51059421800,51700032113,217.9
51059481102,51700032113,241.2
51510200407,51700032113,223.7
51710006902,51700032113,4.8
51097950400,51700032113,128.6
51107611013,51700032113,260.7
51101950101,51700032113,137.5
51061930304,51700032113,239.6
51600300500,51700032113,227.3
51087200411,51700032113,129
51700032002,51700032113,46.2
51840000302,51700032113,289.2
51810046012,51700032113,11.5
51059420201,51700032113,221.7
51087200123,51700032113,137.2
51041100205,51700032113,128.3
51041100930,51700032113,137.7
51161030801,51700032113,317.4
51109950300,51700032113,187.4
51059490101,51700032113,236.9
51101950200,51700032113,106.4
51059460702,51700032113,235.4
51510200802,51700032113,226.9
51760040500,51700032113,118.7
51013102302,51700032113,229.3
51107611010,51700032113,259.4
51107611802,51700032113,246.8
51059480501,51700032113,248.8
51683910202,51700032113,222.5
51041100804,51700032113,122.2
51510201500,51700032113,227.9
51087200106,51700032113,131.5
51137110102,51700032113,202.7
51540000202,51700032113,194.6
51800075204,51700032113,29.8
51071930200,51700032113,389.9
51107610504,51700032113,266.1
51153900202,51700032113,205
51059420203,51700032113,225
51540000302,51700032113,191
51013101100,51700032113,234.9
51163930100,51700032113,263.9
51013102701,51700032113,229.1
51760041000,51700032113,119.3
51013102600,51700032113,228
51740213101,51700032113,23.9
51650010701,51700032113,34
51630000302,51700032113,169.5
51087200122,51700032113,136.9
51041100922,51700032113,133.2
51700031300,51700032113,37.2
51171040202,51700032113,314.4
51059430201,51700032113,225.5
51031020300,51700032113,251.3
51031020402,51700032113,251.6
51710006901,51700032113,4.7
51550020906,51700032113,16.1
51810045803,51700032113,10.1
51810046224,51700032113,13.7
51730810600,51700032113,104.4
51059452000,51700032113,224.7
51810045810,51700032113,13
51131990100,51700032113,62
51510201204,51700032113,230.9
51600300100,51700032113,230.2
51063920200,51700032113,353.6
51183870202,51700032113,94.3
51810041002,51700032113,7.9
51153900501,51700032113,205.2
51710002100,51700032113,15.4
51113930200,51700032113,241.3
51810045808,51700032113,11.6
51059491502,51700032113,235
51059415700,51700032113,227.3
51670820500,51700032113,107.6
51121021500,51700032113,354
51650010601,51700032113,29.2
51059492300,51700032113,215.3
51153901005,51700032113,203.4
51153901415,51700032113,227.6
51820003400,51700032113,223.6
51087200125,51700032113,128.5
51700032124,51700032113,49
51760030100,51700032113,115.5
51059481000,51700032113,245.8
51580060100,51700032113,311.6
51161031101,51700032113,307.5
51059471100,51700032113,234.9
51147930300,51700032113,197.6
51059450500,51700032113,231.4
51710005100,51700032113,10.9
51710000500,51700032113,16.9
51059460600,51700032113,231.6
51059432401,51700032113,217.6
51680001400,51700032113,243.4
51013101500,51700032113,233.5
51001090600,51700032113,113.4
51085321202,51700032113,110.7
51700032127,51700032113,41.6
51141030100,51700032113,309.7
51141030200,51700032113,367.7
51059491202,51700032113,231.5
51700032114,51700032113,42.8
51059451000,51700032113,226.5
51013103700,51700032113,229.8
51087200906,51700032113,121.8
51059450702,51700032113,226.7
51059421001,51700032113,221.5
51059432100,51700032113,220.4
51027010100,51700032113,536.1
51175200400,51700032113,67.8
51175200200,51700032113,86.3
51013101803,51700032113,230.3
51107611300,51700032113,251.1
51550020300,51700032113,13
51059430102,51700032113,222.1
51107610702,51700032113,274.9
51510200403,51700032113,222.1
51087200409,51700032113,126.9
51059471201,51700032113,234.4
51059461901,51700032113,233.9
51710006604,51700032113,13.3
51710003100,51700032113,13.2
51059432201,51700032113,220.4
51700032132,51700032113,48.1
51700032005,51700032113,48.3
51153901009,51700032113,204
51810045415,51700032113,14.4
51003010602,51700032113,197.8
51710001600,51700032113,15.2
51059491801,51700032113,231.7
51570830500,51700032113,105.1
51087200802,51700032113,123.2
51177020107,51700032113,172.9
